scene_name,router_position,tx_coords,rx_coords,sessions,background_sessions,valid_frames,human_instances
lab,Pos0,"tx_antenna_offset_mm:[0.0, -148.0, 34.0]","[0.0, 0.0, -78.0]",163,1,1895,2744
lab,Pos0_Unseen,"tx_antenna_offset_mm:[0.0, -148.0, 34.0]","[0.0, 0.0, -78.0]",107,1,0,0
lab,Pos1_R20,"tx_antenna_offset_mm:[0.0, -148.0, 34.0]","[0.0, 0.0, -78.0]",82,1,926,1480
lab,Pos1_R20_Unseen,"tx_antenna_offset_mm:[0.0, -148.0, 34.0]","[0.0, 0.0, -78.0]",79,1,0,0
newlab,Pos2,"tx_antenna_offset_mm:[0.0, -148.0, 34.0]","[0.0, 0.0, -247.0]",243,0,1980,1980
newlab,Pos2,"tx_antenna_offset_mm:[0.0, -148.0, 34.0]","[0.0, 0.0, -379.0]",1,0,0,0
room,Pos0,"tx_antenna_offset_mm:[0.0, -148.0, 34.0]","[0.0, 0.0, -379.0]",138,0,1527,2112
room,Pos0_Unseen,"tx_antenna_offset_mm:[0.0, -148.0, 34.0]","[0.0, 0.0, -379.0]",48,0,0,0
room,Pos1_L20,"tx_antenna_offset_mm:[0.0, -148.0, 34.0]","[0.0, 0.0, -379.0]",63,0,659,844
